"SENTIDO","NAVEGACAO","PAIS_PORTO_ESTRANG","REGIAO_ORIGEM","BERCO","PORTO_ATRACACAO","ATRACACAO","MES_ATRAC","ANO_ATRAC","DESATRACACAO","ANO_DESAT","TEMPO_ESTADIA_HORAS","CAPITULO","SECAO","TIPO_CARGA","TIPO_CARGA_MACRO","GRUPOANTAQ","NAVIO","IMO","TIPO_NAVIO","PORTE_NAVIO","CLIMA_DIA","MARE_DIA","DIA_SEMANA","TURNO","PORTO_ORIGEM","PORTO_DESTINO"
"Descarga","LC","ALEMANHA","EUROPA","101","Ilhéus","8/18/2024 11:23","8","2024","8/19/2024 19:23","2024","32","17","Secao 6","Carga 4","CARGA GERAL","Grupo 5","Navio 91","8046947","Graneleiro","Pequeno","Instável","Alta","Quinta","Noite","Salvador","Ilhéus"
"Embarque","CB","PERU","AMERICA DO SUL","103","Ilhéus","5/13/2024 22:28","5","2024","5/14/2024 15:28","2024","17","7","Secao 2","Carga 2","GRANEL LÍQUIDO","Grupo 8","Navio 92","7724173","Frigorificado","Pequeno","Instável","Baixa","Sábado","Tarde","Salvador","Ilhéus"
"Embarque","LC","BRASIL","AMERICA DO SUL","103","Ilhéus","6/2/2024 5:45","6","2024","6/2/2024 20:45","2024","15","4","Secao 4","Carga 2","GRANEL SÓLIDO","Grupo 8","Navio 93","7110243","Carga Geral","Grande","Instável","Baixa","Quinta","Noite","Ilhéus","Ilhéus"
"Embarque","CB","ARGENTINA","AMERICA DO SUL","101","Ilhéus","6/7/2024 12:45","6","2024","6/8/2024 22:45","2024","34","19","Secao 2","Carga 2","CARGA GERAL","Grupo 2","Navio 94","8887329","Frigorificado","Grande","Instável","Baixa","Terça","Noite","Salvador","Ilhéus"
"Descarga","LC","URUGUAI","AMERICA DO SUL","102","Ilhéus","3/7/2024 13:32","3","2024","3/7/2024 20:32","2024","7","10","Secao 3","Carga 2","CARGA GERAL","Grupo 4","Navio 95","8451325","Breakbulk","Médio","Sol","Baixa","Terça","Noite","Salvador","Ilhéus"
"Descarga","LC","ITÁLIA","EUROPA","201","Aratu","6/4/2024 19:34","6","2024","6/5/2024 4:34","2024","9","6","Secao 10","Carga 5","GRANEL LÍQUIDO","Grupo 10","Navio 96","7172781","Graneleiro","Pequeno","Sol","Baixa","Sábado","Manhã","Salvador","Aratu"
"Embarque","CB","FRANÇA","EUROPA","201","Aratu","1/16/2024 15:56","1","2024","1/17/2024 13:56","2024","22","8","Secao 7","Carga 3","GRANEL LÍQUIDO","Grupo 2","Navio 97","9888254","Graneleiro","Pequeno","Chuva","Extrema","Quinta","Tarde","Ilhéus","Aratu"
"Embarque","LC","CHINA","ASIA","102","Aratu","6/9/2024 22:20","6","2024","6/11/2024 0:20","2024","26","12","Secao 9","Carga 5","GRANEL LÍQUIDO","Grupo 6","Navio 98","8013922","Frigorificado","Pequeno","Chuva","Extrema","Terça","Manhã","Ilhéus","Aratu"
"Embarque","CB","BRASIL","AMERICA DO SUL","203","Salvador","11/11/2024 13:15","11","2024","11/12/2024 3:15","2024","14","7","Secao 3","Carga 4","PROJETO","Grupo 8","Navio 99","8294112","Frigorificado","Pequeno","Sol","Extrema","Sexta","Tarde","Aratu","Salvador"
"Embarque","CB","CHINA","ASIA","203","Salvador","1/25/2024 1:18","1","2024","1/26/2024 12:18","2024","35","18","Secao 1","Carga 1","PROJETO","Grupo 3","Navio 100","8109279","Carga Geral","Médio","Chuva","Normal","Quinta","Manhã","Ilhéus","Salvador"
